12/01/2018 04:13,,,,
Código,Descrição,Início de Vigência,Fim de Vigência,Taxa de Conversão
635,CUANZA/ANGOLA,12/01/2018,14/01/2018,"0,0175900"
640,NOVO DOLAR TAIWAN,12/01/2018,14/01/2018,"0,1098000"
642,NOVA LIRA/TURQUIA,12/01/2018,14/01/2018,"0,8543000"
645,NOVO PESO/MEXICO,01/08/1998,31/08/1998,"0,1307220"
660,NOVO SOL/PERU,12/01/2018,14/01/2018,"1,0091000"
665,NGULTRUM/BUTAO,12/01/2018,14/01/2018,"0,0510600"
670,UGUIA MAURITANIA,12/01/2018,14/01/2018,"0,0092240"
680,PAANGA,12/01/2018,14/01/2018,"1,5448000"
685,PATACA/MACAU,12/01/2018,14/01/2018,"0,4036000"
700,PESETA ESPANHOLA,03/01/2002,03/01/2002,"0,0124030"
706,PESO ARGENTINO,12/01/2018,14/01/2018,"0,1728000"
715,PESO CHILENO,12/01/2018,14/01/2018,"0,0053250"
720,PESO COLOMBIANO,12/01/2018,14/01/2018,"0,0011190"
725,PESO CUBANO,12/01/2018,14/01/2018,"3,2467000"
730,PESO DOMINICANO,12/01/2018,14/01/2018,"0,0670500"
735,PESO FILIPINO,12/01/2018,14/01/2018,"0,0642800"
741,PESO/MEXICO,12/01/2018,14/01/2018,"0,1684000"
745,PESO/URUGUAIO,12/01/2018,14/01/2018,"0,1132000"
755,PULA/BOTSWANA,12/01/2018,14/01/2018,"0,3299000"
760,QUACHA DE MALAVI,12/01/2018,14/01/2018,"0,0045510"
765,QUACHA DE ZAMBIA,03/01/2013,03/01/2013,"0,0003953"
766,QUACHA ZAMBIA,12/01/2018,14/01/2018,"0,3313000"
770,QUETZAL,12/01/2018,14/01/2018,"0,4426000"
775,QUIATE/BIRMANIA,12/01/2018,14/01/2018,"0,0024140"
778,KINA/PAPUA N GUIN,12/01/2018,14/01/2018,"1,0292000"
779,KUNA/CROACIA,12/01/2018,14/01/2018,"0,5225000"
780,"QUIPE/LAOS, REP",12/01/2018,14/01/2018,"0,0003915"
785,RANDE,12/01/2018,14/01/2018,"0,2611000"
790,REAL/BRASIL,13/02/2014,12/02/2050,"1,0000000"
795,IUAN RENMIMBI,12/01/2018,14/01/2018,"0,4989000"
796,RENMINBI HONG KONG,12/01/2018,14/01/2018,"0,4982000"
800,RIAL DE CATAR,12/01/2018,14/01/2018,"0,8920000"
805,RIAL/OMA,12/01/2018,14/01/2018,"8,4330000"
810,RIAL IEMENITA,12/01/2018,14/01/2018,"0,0129900"
815,"RIAL/IRAN, REP",12/01/2018,14/01/2018,"0,0000895"
820,RIAL SAUDITA,12/01/2018,14/01/2018,"0,8657000"
825,RIEL/CAMBOJA,12/01/2018,14/01/2018,"0,0008073"
828,RINGGIT (MALASIA),12/01/2018,14/01/2018,"0,8113000"
829,RUBLO BELARUS,04/07/2016,04/07/2016,"0,0001595"
830,RUBLO/RÚSSIA,12/01/2018,14/01/2018,"0,0569900"
831,RUBRO BELARUS,12/01/2018,14/01/2018,"1,6145000"
835,SOMONI TADJIQUIST,12/01/2018,14/01/2018,"0,3683000"
840,RUPIA DE MAURICIO,12/01/2018,14/01/2018,"0,0970600"
845,RUPIA DE NEPAL,12/01/2018,14/01/2018,"0,0319100"
850,RUPIA/SEYCHELES,12/01/2018,14/01/2018,"0,2427000"
855,RUPIA DE SRILANKA,12/01/2018,14/01/2018,"0,0211200"
860,RUPIA INDIANA,12/01/2018,14/01/2018,"0,0510600"
865,RUPIA DA INDONESIA,12/01/2018,14/01/2018,"0,0002417"
870,RUFIA/MALDIVAS,12/01/2018,14/01/2018,"0,2106000"
875,RUPIA PAQUISTANES,12/01/2018,14/01/2018,"0,0293800"
880,SHEKEL,12/01/2018,14/01/2018,"0,9469000"
892,SOM QUIRGUISTAO,12/01/2018,14/01/2018,"0,0470200"
893,SOM/UZBEQUISTAO,12/01/2018,14/01/2018,"0,0003992"
895,SUCRE,28/03/2011,28/03/2011,"0,0000664"
905,TACA/BANGLADESH,12/01/2018,14/01/2018,"0,0392400"
911,TALA SAMOA OC,03/12/2014,03/12/2014,"6,3082000"
912,TALA SAMOA,12/01/2018,14/01/2018,"1,3383000"
913,TENGE/CASAQISTAO,12/01/2018,14/01/2018,"0,0098280"
914,TOLAR / ESLOVENIA,13/02/2009,15/02/2009,"0,0122680"
915,TUGRIK/MONGOLIA,12/01/2018,14/01/2018,"0,0013370"
916,UNID FOMENTO CHIL,22/01/2014,22/01/2014,"0,0000998"
920,VATU VANUATU,12/01/2018,14/01/2018,"0,0303100"
930,WON,12/01/2018,14/01/2018,"0,0030390"
940,XELIM AUSTRIACO,03/01/2002,03/01/2002,"0,1499700"
946,XELIM/TANZANIA,12/01/2018,14/01/2018,"0,0014530"
950,XELIM DE QUENIA,12/01/2018,14/01/2018,"0,0315400"
955,XELIM DE UGANDA,12/01/2018,14/01/2018,"0,0008883"
960,XELIM SOMALIANO,12/01/2018,14/01/2018,"0,0056460"
975,ZLOTY/POLONIA,12/01/2018,14/01/2018,"0,9307000"
978,EURO/COM.EUROPEIA,12/01/2018,14/01/2018,"3,8915000"
995,BUA,02/06/2005,02/06/2005,"3,5525800"
996,FUA,02/06/2005,02/06/2005,"3,5525800"
998,DOLAR OURO,12/01/2018,14/01/2018,"137,5720000"
