12/01/2018 03:40,,,,
CÛdigo,DescriÁ„o,InÌcio de VigÍncia,Fim de VigÍncia,Mercadorias
45,"PREP. COMPOSTAS N/ ALCOOLICAS P/ ELAB. DE BEBIDAS (LEI 10865/04 - ART 8∫, PAR 12, INC XIII, C/C LEI 11196/05 - ART 44)",12/04/2006,-,4 - REDUCAO                                                     
46,"BENS SUBMETIDOS AO REPORTO (LEI 11033/04 - ART. 14, C/C DEC 6582/08)",30/09/2008,-,5 - SUSPENSAO                                                   
47,"BENS SUBMETIDOS AO REPES (LEI 11196/05 - ART. 4∫, INC. II, C/C DEC 5713/06)",11/04/2006,-,5 - SUSPENSAO                                                   
48,"BENS SUBMETIDOS AO RECAP (LEI 11196/05 - ART. 14, INC. II, C/C DEC 6581/08)",30/09/2008,-,5 - SUSPENSAO                                                   
49,"BENS A SEREM INCORPORADOS AO ATIVO IMOBILIZADO DE EMPRESAS DA ZFM (LEI 11196/05 - ART 50, C/C DEC 5691/06)",12/04/2006,-,5 - SUSPENSAO                                                   
50,"QUEIJOS DE TIPOS DEFINIDOS PELA LEI 10925/04 - ART 1∫, INC XII, C/C LEI 11488/07 - ART 32, C/C DECS 5630/05 E 6461/08",26/05/2008,-,4 - REDUCAO                                                     
51,"MAQUINAS E EQUIPAMENTOS - POSICAO 8439 DA TIPI - P/ FABRICACAO DE PAPEIS (LEI 11196/05 - ART 55, INC II, C/C DEC 5653/05",12/04/2006,-,5 - SUSPENSAO                                                   
52,"LEITE EM PÛ, CFE DEFINIÁıES DA LEI 10925/04 - ART 1∫, INC XI,C/C LEI 11488/07 - ART 32, C/C DECS 5630/05 E 6461/08",26/05/2008,-,4 - REDUCAO                                                     
53,"CUSTOS DE ENERGIA ELETRICA - EFEITOS CAMBIAIS (IN SRF 649, DE 2006).",14/06/2006,-,6 - NAO INCIDENCIA                                              
54,"PROD QUIMICOS, CAP 29 - DEC 5821/06, ART 1∫, INC I.",21/07/2006,-,4 - REDUCAO                                                     
55,"PROD QUIMICOS SINTESE,CAP 29-DEC 5821/06,ART 1∫,INC II,AL B.",21/07/2006,-,4 - REDUCAO                                                     
56,"POS. 3002,3006,3926,4015,9018-DEC 5821/06, ART 1∫, INC III.",21/07/2006,-,4 - REDUCAO                                                     
57,"POS. 3002,3006,3926,4015,9018-DEC 5821/06,ART 1∫,PAR UNICO.",21/07/2006,-,4 - REDUCAO                                                     
58,"PRODUTOS FARMACEUTICOS - DEC 5821/06, ART 2∫, INC I.",21/07/2006,-,4 - REDUCAO                                                     
59,"PRODUTOS FARMACEUTICOS - DEC 5821/06, ART 2∫, INC II.",21/07/2006,-,4 - REDUCAO                                                     
60,"PRODUTOS FARMACEUTICOS - DEC 5821/06, ART 2∫, INC III.",21/07/2006,-,4 - REDUCAO                                                     
61,"PRODUTOS FARMACEUTICOS - DEC 5821/06, ART 2∫, INC IV.",21/07/2006,-,4 - REDUCAO                                                     
62,"PRODUTOS FARMACEUTICOS - DEC 5821/06, ART 2∫, INC V.",21/07/2006,-,4 - REDUCAO                                                     
63,"PRODUTOS FARMACEUTICOS - DEC 5821/06, ART 2∫, INC VI.",21/07/2006,-,4 - REDUCAO                                                     
64,"PRODUTOS FARMACEUTICOS - DEC 5821/06, ART 2∫, INC VII.",21/07/2006,-,4 - REDUCAO                                                     
65,"PRODUTOS FARMACEUTICOS - DEC 5821/06 ART 2∫, INC VIII.",21/07/2006,-,4 - REDUCAO                                                     
66,"EXCLUSIVO LOJA FRANCA - DI CAMBIAL (LEI N. 10865/04, ART. 9, INCISO II, ALINEA D)",15/02/2007,-,3 - ISENCAO                                                     
67,"BENS C/USO RELAT.EVENTO CULTURAL,CIENT.OU ESPORTIVO OFICIAL REALIZADO NO EXTERIOR OU BRASIL-L.11.488/07,ART.38.",17/12/2012,-,3 - ISENCAO                                                     
68,"MAT.PRIMAS, PROD.INTERM. E MAT.DE EMB.- EMPR.EXPORTADORA(LEI10.865/2004-ART.40-PARAGRAFO 6∫ C/C LEIS10925/04 E 11482/07)",15/01/2008,-,5 - SUSPENSAO                                                   
69,"PROD QUIMICOS, CAP 29 - DEC 6426/08, ART 1∫, INC I",08/04/2008,-,4 - REDUCAO                                                     
70,"PROD QUIMICOS SINTESE,CAP 29-DEC 6426/08,ART 1∫,INC II,AL B.",08/04/2008,-,4 - REDUCAO                                                     
71,"POS. 3002,3006,3926,4015,9018-DEC 6426/08, ART 1∫, INC III",08/04/2008,-,4 - REDUCAO                                                     
72,"PRODUTOS FARMACEUTICOS - DEC 6426/08, ART 2∫, INC I.",08/04/2008,-,4 - REDUCAO                                                     
