12/01/2018 04:13,,,,
31,"ADMISSAO TEMPORARIA - DL 37/66, ART. 75(EXCETO RECIPIENTES, EMBALAGENS E OUTROS COM FINALIDADE SEMELHANTE - FL 98)",,,
41,"LEI 4.731, DE 14 DE JULHO DE 1965 (MATERIAL NãO SIGILOSO)",,,
90,TRANSF MERC ADMITIDA REGIME ADUAN ESP OU ATIP -ART 251 RA,,,
69,"BENS DESTINADOS AO REPETRO NA MODALIDADE TEMPORARIA PREVISTANA ALINEA ""A"" DO INCISO I DO ART.376 DO DECRETO Nº6.759/2009",,,
063,,ADMISSAO NA ZFM - ISENCAO,22/01/1999,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
17,"AMAZONIA OCIDENTAL - DL 356/88. ART.2 - DL 1435/76, ART.3",,,
065,,ADMISSAO NA ZFM - SUSPENSAO,25/07/2007,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
56,"ADMISSAO NA ZONA FRANCA DE MANAUS - ZFM - CF/88, DISPOSICOES TRANSITORIAS, 40 - DL 288/67",,,
98,"EXCLUSIVO RECIPIENTES E EMBALAGENS RETORNAVEIS E SIMILARES - ADM. TEMP. OU REIMPORTACAO - IN RFB 747/07, PORT. SECEX 35/06",,,
075,,ADMISSAO EM LOJA FRANCA - SUSPENSAO,22/01/1999,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
57,"ADMISSAO EM LOJA FRANCA - DL 1455/76, ART 15",,,
085,,ADMISSAO EM ALC - SUSPENSAO,25/07/2007,-
Lista de Fundamentos Legais,,,,
Código,Descrição,,,
60,"ADMISSAO NA A.L.C. GUAJARA-MIRIM - LEI 8210/91 (ALTERADO P/LEI 8981/95, ART. 109) - DEC 843/93",,,
61,"ADMISSAO NA A.L.C. DE TABATINGA - LEI 7965/89 (ALTERADO P/LEI 8981/95, ART. 108)",,,
62,ADMISSAO NA A.L.C. DE MACAPA E SANTANA - LEI 8387/91 - DEC 517/92,,,
