12/01/2018 03:42,,,
Código,Descrição,Início de Vigência,Fim de Vigência
03072100,"Vivos, frescos ou refrigerados",13/03/2007,-
03072900,Outros,13/03/2007,-
03073100,"Vivos, frescos ou refrigerados",13/03/2007,-
03073900,Outros,13/03/2007,-
03074100,"Vivos, frescos ou refrigerados",13/03/2007,-
03074900,Outros,13/03/2007,-
03075100,"Vivos, frescos ou refrigerados",13/03/2007,-
03075900,Outros,13/03/2007,-
03076000,"Caracóis, exceto os do mar",13/03/2007,-
03079120,"Ouriços-do-mar, frescos ou refrigerados",13/03/2007,-
03079190,Outros,13/03/2007,-
03079910,"Ouriços-do-mar, congelados",13/03/2007,-
03079990,Outros,13/03/2007,-
04011000,"Com um teor, em peso, de matérias gordas, não",13/03/2007,-
04012000,"Com um teor, em peso, de matérias gordas, superior",13/03/2007,-
04013010,Leite,13/03/2007,-
04013020,Creme de leite (nata*),13/03/2007,-
04021000,"Em pó, grânulos ou outras formas sólidas, com um",13/03/2007,-
04022110,Leite,13/03/2007,-
04022120,Creme de leite (nata*),13/03/2007,-
04022910,Leite,13/03/2007,-
04022920,Creme de leite (nata*),13/03/2007,-
04029110,Leite,13/03/2007,-
04029120,Creme de leite (nata*),13/03/2007,-
04029910,Leite,13/03/2007,-
04029920,Creme de leite (nata*),13/03/2007,-
04031010,Não aromatizado nem adicionado de frutas nem cacau,13/03/2007,-
04031090,Outros,13/03/2007,-
04039010,Não aromatizado nem adicionado de frutas nem cacau,13/03/2007,-
04039090,Outros,13/03/2007,-
04041010,"Não concentrado, sem adição de açúcar nem de",13/03/2007,-
04041020,Concentrado ou adicionado de açúcar ou de outros,13/03/2007,-
04049010,"Não concentrado, sem adição de açúcar nem de",13/03/2007,-
04049020,Concentrado ou adicionado de açúcar ou de outros,13/03/2007,-
04051000,Manteiga,13/03/2007,-
04052000,Pastas de espalhar (barrar) de produtos,13/03/2007,-
04059010,"Óleo butírico de manteiga (""butter oil"")",13/03/2007,-
04059090,Outras,13/03/2007,-
04061010,Requeijão,13/03/2007,-
04061090,Outros,13/03/2007,-
04062000,"Queijos ralados ou em pó, de qualquer tipo",13/03/2007,-
04063000,"Queijos fundidos, exceto ralados ou em pó",13/03/2007,-
04064000,Queijos de pasta mofada (azul*),13/03/2007,-
04069000,Outros queijos,13/03/2007,-
04070010,Para incubação,13/03/2007,-
04070090,Outros,13/03/2007,-
04081100,Secas,13/03/2007,-
04081900,Outras,13/03/2007,-
04089100,Secos,13/03/2007,-
04089900,Outros,13/03/2007,-
04090000,Mel natural.,13/03/2007,-
04100000,"Produtos comestíveis de origem animal, não",13/03/2007,-
05010000,"Cabelos em bruto, mesmo lavados ou",13/03/2007,-
05021010,Cerdas,13/03/2007,-
05021020,Desperdícios,13/03/2007,-
05029010,Pêlos,13/03/2007,-
05029020,Desperdícios,13/03/2007,-
05030000,"Crinas e seus desperdícios, mesmo em mantas, com",13/03/2007,-
05040011,Estômagos,13/03/2007,-
05040012,Tripas,13/03/2007,-
05040019,Outros,13/03/2007,-
05040090,Outros,13/03/2007,-
05051000,Penas dos tipos utilizados para enchimento ou,13/03/2007,-
05059000,Outros,13/03/2007,-
05061000,Osseína e ossos acidulados,13/03/2007,-
05069000,Outros,13/03/2007,-
05071000,"Marfim, seus pós e desperdícios",13/03/2007,-
05079000,Outros,13/03/2007,-
