12/01/2018 04:13,,,,,
Código,Sigla,Descrição,,Início de Vigência,Fim de Vigência
823,-,"TURCAS E CAICOS,ILHAS",01/01/1901,-
824,-,"TURCOMENISTAO, REPUBLICA DO",01/01/1901,-
827,-,TURQUIA,01/01/1901,-
828,-,TUVALU,01/01/1901,-
831,-,UCRANIA,01/01/1901,-
833,-,UGANDA,01/01/1901,-
845,-,URUGUAI,01/01/1901,-
847,-,"UZBEQUISTAO, REPUBLICA DO",01/01/1901,-
551,-,VANUATU,01/01/1901,-
848,-,"VATICANO, EST.DA CIDADE DO",01/01/1901,-
850,-,VENEZUELA,01/01/1901,-
858,-,VIETNA,01/01/1901,-
863,-,"VIRGENS,ILHAS (BRITANICAS)",01/01/1901,-
866,-,"VIRGENS,ILHAS (E.U.A.)",01/01/1901,-
873,-,"WAKE, ILHA",01/01/1901,-
875,-,"WALLIS E FUTUNA, ILHAS",01/01/1901,-
890,-,ZAMBIA,01/01/1901,-
665,-,ZIMBABUE,01/01/1901,-
